% 1. Title: test_subject_003-1_log-4-29-2015-11-28-32.txt

@RELATION: vrdata

@ATTRIBUTE ratePercent NUMERIC
@ATTRIBUTE rateDiff NUMERIC
@ATTRIBUTE variabilityPercent NUMERIC
@ATTRIBUTE variabilityDiff NUMBERIC
@ATTRIBUTE class {VR-Fear0, VR-Fear1, VR-Fear2, VR-Fear3, VR-Fear4}
@DATA
%average heart rate: 74.169231, average heart variability: 60.869565
0.038166,2.830769,-0.014286,-0.869565,VR-Fear0
-0.002282,-0.169231,-0.014286,-0.869565,VR-Fear0
-0.002282,-0.169231,-0.014286,-0.869565,VR-Fear0
-0.015764,-1.169231,-0.014286,-0.869565,VR-Fear0
-0.002282,-0.169231,-0.014286,-0.869565,VR-Fear0
-0.002282,-0.169231,-0.014286,-0.869565,VR-Fear0
-0.002282,-0.169231,-0.014286,-0.869565,VR-Fear0
-0.002282,-0.169231,-0.014286,-0.869565,VR-Fear0
0.011201,0.830769,-0.014286,-0.869565,VR-Fear0
0.011201,0.830769,-0.014286,-0.869565,VR-Fear0
0.011201,0.830769,-0.014286,-0.869565,VR-Fear0
0.011201,0.830769,-0.014286,-0.869565,VR-Fear0
0.038166,2.830769,-0.014286,-0.869565,VR-Fear0
0.065132,4.830769,0.002143,0.130435,VR-Fear0
0.132545,9.830769,0.002143,0.130435,VR-Fear0
0.172993,12.830769,0.018571,1.130435,VR-Fear0
0.186476,13.830769,0.018571,1.130435,VR-Fear0
0.172993,12.830769,0.002143,0.130435,VR-Fear0
0.159510,11.830769,0.018571,1.130435,VR-Fear0
0.146028,10.830769,0.018571,1.130435,VR-Fear0
0.078614,5.830769,0.018571,1.130435,VR-Fear0
0.011201,0.830769,0.018571,1.130435,VR-Fear0
-0.015764,-1.169231,0.018571,1.130435,VR-Fear0
-0.029247,-2.169231,0.018571,1.130435,VR-Fear0
-0.029247,-2.169231,0.018571,1.130435,VR-Fear0
-0.029247,-2.169231,0.018571,1.130435,VR-Fear0
-0.029247,-2.169231,0.018571,1.130435,VR-Fear0
-0.002282,-0.169231,0.018571,1.130435,VR-Fear0
0.065132,4.830769,0.018571,1.130435,VR-Fear0
0.065132,4.830769,0.018571,1.130435,VR-Fear1
0.038166,2.830769,0.018571,1.130435,VR-Fear1
-0.002282,-0.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.069695,-5.169231,0.018571,1.130435,VR-Fear1
-0.056212,-4.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.015764,-1.169231,0.018571,1.130435,VR-Fear1
-0.002282,-0.169231,0.018571,1.130435,VR-Fear1
-0.002282,-0.169231,0.018571,1.130435,VR-Fear1
0.011201,0.830769,0.002143,0.130435,VR-Fear1
0.011201,0.830769,0.002143,0.130435,VR-Fear1
-0.002282,-0.169231,0.002143,0.130435,VR-Fear1
-0.002282,-0.169231,0.002143,0.130435,VR-Fear1
-0.015764,-1.169231,0.002143,0.130435,VR-Fear1
-0.029247,-2.169231,0.002143,0.130435,VR-Fear1
-0.029247,-2.169231,0.002143,0.130435,VR-Fear1
-0.069695,-5.169231,0.002143,0.130435,VR-Fear1
-0.083178,-6.169231,0.002143,0.130435,VR-Fear1
-0.096660,-7.169231,0.002143,0.130435,VR-Fear1
-0.069695,-5.169231,0.002143,0.130435,VR-Fear1
-0.056212,-4.169231,0.002143,0.130435,VR-Fear1
-0.042730,-3.169231,0.002143,0.130435,VR-Fear1
-0.042730,-3.169231,0.002143,0.130435,VR-Fear1
-0.015764,-1.169231,0.002143,0.130435,VR-Fear1
-0.069695,-5.169231,0.002143,0.130435,VR-Fear1
-0.110143,-8.169231,0.018571,1.130435,VR-Fear1
-0.137108,-10.169231,0.018571,1.130435,VR-Fear1
-0.096660,-7.169231,0.035000,2.130435,VR-Fear1
-0.096660,-7.169231,0.035000,2.130435,VR-Fear1
-0.083178,-6.169231,0.035000,2.130435,VR-Fear1
-0.029247,-2.169231,0.035000,2.130435,VR-Fear1
-0.042730,-3.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.015764,-1.169231,0.018571,1.130435,VR-Fear1
-0.002282,-0.169231,0.018571,1.130435,VR-Fear1
-0.002282,-0.169231,0.018571,1.130435,VR-Fear1
-0.015764,-1.169231,0.018571,1.130435,VR-Fear1
-0.015764,-1.169231,0.018571,1.130435,VR-Fear1
-0.015764,-1.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.002282,-0.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.056212,-4.169231,0.018571,1.130435,VR-Fear1
-0.056212,-4.169231,0.018571,1.130435,VR-Fear1
-0.042730,-3.169231,0.018571,1.130435,VR-Fear1
-0.042730,-3.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.029247,-2.169231,0.018571,1.130435,VR-Fear1
-0.056212,-4.169231,0.018571,1.130435,VR-Fear1
-0.069695,-5.169231,0.018571,1.130435,VR-Fear1
-0.069695,-5.169231,0.018571,1.130435,VR-Fear1
-0.056212,-4.169231,0.002143,0.130435,VR-Fear1
-0.056212,-4.169231,0.002143,0.130435,VR-Fear1
-0.083178,-6.169231,0.018571,1.130435,VR-Fear1
-0.056212,-4.169231,0.018571,1.130435,VR-Fear1
