#Timestamp, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 0, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 1, (1000, 49.95657, 1200), (-0.2657248, 0, 0.964049, 0)

0:0:0, 1, (1000, 48.38041, 1200), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (996.2054, 48.61256, 1193.639), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (991.0629, 48.7416, 1185.019), (-0.2657257, 0, 0.9640487, 0)

0:0:0, 1, (990.3796, 48.54445, 1178.203), (-0.2944716, 0, 0.9556603, 0)

0:0:0, 1, (985.4841, 48.39587, 1170.213), (-0.2944728, 0, 0.9556599, 0)

0:0:0, 1, (980.0076, 48.36177, 1166.643), (0.9282967, 0, 0.3718403, 0)

0:0:0, 1, (985.0455, 48.68585, 1176.12), (-0.9336507, 0, 0.358185, 0)

0:0:0, 1, (977.1349, 49.16778, 1181.65), (-0.6921866, 0, 0.7217186, 0)

0:0:0, 1, (971.0563, 49.04571, 1176.625), (0.1083616, 0, 0.9941115, 0)

0:0:0, 1, (971.6772, 48.42653, 1165.834), (-0.08260261, 0, 0.9965826, 0)

0:0:0, 1, (970.5773, 47.82227, 1156.145), (0.06546005, 0, 0.9978552, 0)

0:0:0, 1, (970.1389, 47.15862, 1146.077), (-0.01513583, 0, 0.9998854, 0)

0:0:0, 1, (970.092, 46.49072, 1136.087), (0.04590288, 0, 0.9989459, 0)

0:0:0, 1, (969.5336, 45.85069, 1126.358), (0.02297577, 0, 0.9997361, 0)

0:0:0, 1, (969.0504, 45.25272, 1116.68), (0.05664506, 0, 0.9983944, 0)

0:0:0, 1, (970.4034, 44.73285, 1106.853), (0.2037472, 0, 0.9790235, 0)

0:0:0, 1, (971.6423, 44.23384, 1097.245), (-0.05820552, 0, 0.9983047, 0)

0:0:0, 1, (970.4957, 43.66597, 1087.43), (-0.05820861, 0, 0.9983045, 0)

0:0:0, 1, (969.3149, 43.05672, 1077.338), (-0.05820861, 0, 0.9983045, 0)

0:0:0, 1, (968.1669, 42.43027, 1067.528), (-0.05820861, 0, 0.9983045, 0)

0:0:0, 2, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 2, (0, 0, 0), (0, 0, 0, 0)

0:0:0, 3, (5, 1.01, 7), (0.9998896, 0, 0.01485753, 0)

0:0:0, 3, (5, 1.01, 7), (0.8725259, 0, 0.4885678, 0)

0:0:0, 3, (8.107816, 1.01, 7.420225), (0.6799065, 0, 0.7332988, 0)

0:0:0, 3, (11.99992, 1.01, 8.593352), (0.9993543, 0, -0.03592997, 0)

0:0:0, 3, (11.34715, 1.01, 14.96184), (-0.999592, 0, 0.02856358, 0)

0:0:0, 3, (13.76131, 1.01, 23.54518), (0.7681471, 0, 0.6402734, 0)

0:0:0, 3, (22.29239, 1.01, 21.99675), (0.6763135, 0, 0.7366139, 0)

0:0:0, 3, (31.25413, 1.01, 24.45067), (0.9999919, 0, -0.004023652, 0)

0:0:0, 3, (31.10245, 1.01, 34.36755), (0.9979911, 0, 0.06335487, 0)

0:0:0, 3, (34.881, 1.01, 42.79137), (0.7949619, 0, 0.6066594, 0)

0:0:0, 3, (41.99011, 1.01, 40.09619), (0.715234, 0, 0.6988851, 0)

0:0:0, 3, (41.73481, 1.01, 43.10419), (0.7425792, 0, 0.6697583, 0)

0:0:0, 3, (46.60087, 1.01, 44.72869), (0.692844, 0, 0.7210875, 0)

0:0:0, 3, (56.47511, 1.01, 44.31729), (0.6914717, 0, 0.7224035, 0)

0:0:0, 3, (66.62343, 1.01, 43.87484), (0.6937272, 0, 0.7202379, 0)

0:0:0, 3, (70.93933, 1.01, 47.29876), (0.999981, 0, -0.006155231, 0)

0:0:0, 3, (70.72349, 1.01, 57.06527), (-0.9999144, 0, 0.01308324, 0)

0:0:0, 3, (74.35545, 1.01, 64.0818), (0.7756368, 0, 0.6311795, 0)

