#Timestamp-Hour:Minute:Second:Millisecond, Current Scene Index, (xPos, yPos, zPos), (wRot, xRot, yRot, zRot)
19:3:24:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:25:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:26:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:27:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:28:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:29:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:30:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:31:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:32:455, 0, (0, 0, 0), (0, 0, 0, 0)

19:3:37:192, 1, (1000, 48.38041, 1200), (-0.6781171, 0, 0.7349539, 0)

19:3:38:528, 1, (996.451, 48.65009, 1199.714), (-0.6781171, 0, 0.7349539, 0)

19:3:39:532, 1, (991.4455, 48.9818, 1199.311), (-0.6781171, 0, 0.7349539, 0)

19:3:40:536, 1, (986.4628, 49.26384, 1198.909), (-0.6781171, 0, 0.7349539, 0)

19:3:41:536, 1, (981.4581, 49.48867, 1198.506), (-0.6781171, 0, 0.7349539, 0)

19:3:42:524, 1, (973.2228, 49.75485, 1197.843), (-0.6781171, 0, 0.7349539, 0)

19:3:43:528, 1, (963.5343, 49.90468, 1197.062), (-0.6781171, 0, 0.7349539, 0)

19:3:44:512, 1, (953.4066, 49.90988, 1196.246), (-0.6781171, 0, 0.7349539, 0)

19:3:45:532, 1, (943.5546, 49.78446, 1195.453), (-0.6781171, 0, 0.7349539, 0)

19:3:46:820, 2, (0, 0, 0), (0, 0, 0, 0)

19:3:48:341, 3, (5, 1.957353, 7), (-0.9999999, 0, 0.0004686435, 0)

19:3:49:324, 3, (4.99961, 1.01, 7.416075), (-0.9999999, 0, 0.0004686435, 0)

19:3:50:328, 3, (4.016141, 1.01, 8.999776), (-0.7261857, 0, 0.6874986, 0)

19:3:51:332, 3, (4.01, 1.01, 8.999801), (0.3245757, 0, 0.9458597, 0)

19:3:52:332, 3, (7.42182, 1.01, 7.290318), (0.8727236, 0, 0.4882145, 0)

19:3:53:336, 3, (11.2498, 1.01, 9.182846), (0.9914693, 0, 0.1303405, 0)

19:3:54:340, 3, (11.99986, 1.01, 15.36095), (0.9975881, 0, 0.06941134, 0)

19:3:55:324, 3, (13.57552, 1.01, 21.81451), (0.6844098, 0, 0.7290976, 0)

19:3:56:328, 3, (20.59143, 1.01, 21.45834), (0.7089244, 0, 0.7052845, 0)

19:3:57:328, 3, (29.12266, 1.01, 22.58399), (0.8164462, 0, 0.5774215, 0)

19:3:58:332, 3, (31.94918, 1.01, 26.65745), (0.9965936, 0, 0.08246934, 0)

19:3:59:336, 3, (32.47054, 1.01, 35.97732), (0.9977106, 0, 0.06762765, 0)

19:4:0:336, 3, (34.88381, 1.01, 42.20652), (0.7862855, 0, 0.6178633, 0)

19:4:1:324, 3, (38.79088, 1.01, 43.98571), (0.6991652, 0, 0.7149602, 0)

19:4:2:328, 3, (47.85564, 1.01, 44.48281), (0.6693083, 0, 0.7429848, 0)

19:4:3:328, 3, (57.14497, 1.01, 44.48119), (0.7001948, 0, 0.7139519, 0)

19:4:4:332, 3, (66.51095, 1.01, 43.63527), (0.72417, 0, 0.6896214, 0)

19:4:5:332, 3, (72.75707, 1.01, 44.27952), (0.9897534, 0, 0.1427875, 0)

19:4:6:336, 3, (72.53502, 1.01, 50.66638), (-0.9989555, 0, 0.04569504, 0)

19:4:7:324, 3, (71.66632, 1.01, 60.50969), (0.9991398, 0, 0.04147045, 0)

19:4:8:324, 3, (78.21274, 1.01, 64.59925), (0.5055516, 0, 0.8627964, 0)

19:4:9:328, 3, (84.89908, 1.01, 64.68201), (0.3933317, 0, 0.9193966, 0)

19:4:10:332, 3, (88.66782, 1.01, 61.07944), (0.005369355, 0, 0.9999856, 0)

19:4:11:332, 3, (87.59467, 1.01, 51.16602), (-0.07310365, 0, 0.9973243, 0)

19:4:12:336, 3, (89.96748, 1.01, 43.60258), (0.5472577, 0, 0.8369642, 0)

19:4:13:340, 3, (98.15897, 1.01, 44.38352), (0.726985, 0, 0.6866534, 0)

19:4:14:325, 3, (107.9815, 1.01, 44.01175), (0.6823891, 0, 0.7309892, 0)

19:4:15:328, 3, (118.0086, 1.01, 43.82753), (0.7000127, 0, 0.7141303, 0)

19:4:16:328, 3, (128.0036, 1.01, 43.62804), (0.7000127, 0, 0.7141303, 0)

19:4:17:332, 3, (136.6865, 1.01, 44.90033), (0.7000127, 0, 0.7141303, 0)

19:4:18:337, 3, (146.2833, 1.01, 44.35208), (0.8509407, 0, 0.5252618, 0)

19:4:19:336, 3, (151.5481, 1.01, 48.55929), (0.7189559, 0, 0.6950557, 0)

19:4:20:324, 3, (159.8638, 1.01, 49.33956), (0.9730193, 0, 0.2307238, 0)

19:4:21:329, 3, (162.1999, 1.01, 57.22086), (0.999818, 0, 0.01907546, 0)

19:4:22:328, 3, (160.393, 1.01, 65.93085), (-0.9956598, 0, 0.09306763, 0)

19:4:23:333, 3, (157.4113, 1.01, 72.24865), (-0.7205318, 0, 0.6934219, 0)

19:4:24:332, 3, (147.9777, 1.01, 71.99821), (-0.7113791, 0, 0.7028085, 0)

19:4:25:336, 3, (138.359, 1.01, 71.6642), (-0.8279844, 0, 0.5607511, 0)

19:4:26:325, 3, (134.2178, 1.01, 76.5731), (0.9411371, 0, 0.338025, 0)

19:4:27:324, 3, (135.1449, 1.01, 84.0361), (-0.9758017, 0, 0.2186574, 0)

19:4:28:328, 3, (131.2313, 1.01, 87.89945), (0.7775911, 0, 0.6287704, 0)

19:4:29:333, 3, (141.07, 1.01, 87.54847), (0.6624191, 0, 0.7491335, 0)

19:4:30:337, 3, (146.5986, 1.01, 89.58517), (0.994983, 0, 0.1000441, 0)

19:4:31:321, 3, (146.6, 1.01, 98.87698), (0.9999592, 0, 0.009034686, 0)

19:4:32:324, 3, (152.3804, 1.01, 104.7511), (0.7620683, 0, 0.6474966, 0)

19:4:33:325, 3, (154.9701, 1.01, 110.608), (-0.9694268, 0, 0.2453809, 0)

19:4:34:329, 3, (155.2307, 1.01, 118.495), (0.9975439, 0, 0.07004363, 0)

19:4:35:333, 3, (154.9356, 1.01, 128.326), (-0.9996435, 0, 0.02670081, 0)

19:4:36:333, 3, (154.9483, 1.01, 135.5111), (0.998167, 0, 0.06052031, 0)

19:4:37:321, 3, (159.06, 1.01, 142.7132), (0.6753653, 0, 0.7374834, 0)

19:4:38:325, 3, (169.0632, 1.01, 141.886), (0.677128, 0, 0.7358653, 0)

19:4:39:325, 3, (179.0254, 1.01, 141.0564), (0.677128, 0, 0.7358653, 0)

19:4:40:329, 3, (189.0239, 1.01, 140.1412), (0.5915831, 0, 0.8062441, 0)

19:4:41:329, 3, (192.4995, 1.01, 135.0978), (0.1096426, 0, 0.9939711, 0)

19:4:42:333, 3, (191.6137, 1.01, 126.2374), (-0.003727591, 0, 0.9999931, 0)

19:4:43:321, 3, (192.6013, 1.01, 118.3709), (-0.01944126, 0, 0.999811, 0)

19:4:44:321, 3, (192.4632, 1.01, 110.1151), (0.02264326, 0, 0.9997436, 0)

19:4:45:325, 3, (192.1514, 1.01, 100.0912), (-0.0113428, 0, 0.9999357, 0)

19:4:46:329, 3, (192.236, 1.01, 90.05219), (0.006503254, 0, 0.9999788, 0)

19:4:47:329, 3, (194.391, 1.01, 81.48033), (0.6174566, 0, 0.786605, 0)

19:4:48:333, 3, (203.0831, 1.01, 79.60071), (0.7072124, 0, 0.7070011, 0)

19:4:49:321, 3, (211.1132, 1.01, 81.85433), (0.7085671, 0, 0.7056434, 0)

